品	しな	goods
多数	たすう	great number
子供	こども	children
対象	たいしょう	object (of)
事務	じむ	office work
概要	がいよう	summary
提供	ていきょう	offer
飛行	ひこう	aviation, flying
天皇	てんのう	emperor
田	た	rice field
娘	むすめ	daughter
サービス	さーびす	service
引退	いんたい	retirement
男	おとこ	guy
理由	りゆう	reason
人気	にんき	popularity
作戦	さくせん	strategy, tactics
円	えん	yen
非常	ひじょう	emergency
頭	あたま	head
音	おと	sound
デザイン	でざいん	design
議会	ぎかい	parliament
人間	にんげん	human
初期	しょき	initial, early (days)
環境	かんきょう	environment
星	ほし	star
彼女	かのじょ	she
時点	じてん	point in time
レース	れーす	race
通り	とおり	street
全体	ぜんたい	entirety
自由	じゆう	freedom
座	ざ	seat
労働	ろうどう	physical labour
表示	ひょうじ	indication, display
発行	はっこう	issue (of)
自治	じち	autonomy
裁判	さいばん	judgement
方法	ほうほう	method
支援	しえん	support
文字	もじ	letter, character
その他	そのほか	others, the rest
国道	こくどう	national highway
左	ひだり	left
スポーツ	すぽーつ	sport
値	あたい	value, cost
広島	ひろしま	Hiroshima
スペイン	すぺいん	Spain
花	はな	flower
行	ぎょう	line, row
母	はは	mother
輸送	ゆそう	transport
舞台	ぶたい	stage
以前	いぜん	before (something)
合併	がっぺい	merger, annexation
アジア	あじあ	Asia
演奏	えんそう	musical performance
工業	こうぎょう	(manufacturing) industry
建築	けんちく	architecture
春	はる	spring
法人	ほうじん	legal entity
データ	でーた	data
大正	たいしょう	Taisho era
能力	のうりょく	ability, faculty
有名	ゆうめい	fame
銀行	ぎんこう	bank
新聞	しんぶん	newspaper
空港	くうこう	airport
由来	ゆらい	origin, source
韓国	かんこく	Korea
行政	ぎょうせい	administration
試験	しけん	exam
妻	つま	wife
ニューヨーク	にゅーよーく	New York
丸	まる	circle
状況	じょうきょう	situation
変化	へんか	variation, changing
神社	じんじゃ	Shinto shrine
右	みぎ	right
番号	ばんごう	number (in series)
港	みなと	harbor
通信	つうしん	communication
装置	そうち	equipment
後半	こうはん	second half
移動	いどう	movement
企画	きかく	planning
電気	でんき	electricity
平均	へいきん	average
祭り	まつり	festival
サイト	さいと	site
距離	きょり	distance
分類	ぶんるい	classification
種類	しゅるい	type, kind
男性	だんせい	man
風	かぜ	wind
福岡	ふくおか	Fukuoka
形成	けいせい	formation
階	かい	storey
差	さ	difference
